treatment,num_tests,dilution,finished,solution_found,max_gen,max_score,max_actual_score,replicate_id,seed,directory
reduced,50,0_00000,True,False,600,50,50,23,29123,reduced/50/0_00000/29123/
reduced,50,0_00000,True,False,600,50,50,24,29124,reduced/50/0_00000/29124/
reduced,50,0_00000,True,False,600,50,50,25,29125,reduced/50/0_00000/29125/
reduced,50,0_00000,False,True,158,48,48,26,29126,reduced/50/0_00000/29126/
reduced,50,0_00000,True,False,600,50,50,27,29127,reduced/50/0_00000/29127/
reduced,50,0_00000,False,True,372,50,50,28,29128,reduced/50/0_00000/29128/
reduced,50,0_00000,True,False,600,49,49,29,29129,reduced/50/0_00000/29129/
reduced,50,0_00000,True,False,600,50,50,30,29130,reduced/50/0_00000/29130/
reduced,50,0_00000,True,False,600,49,49,31,29131,reduced/50/0_00000/29131/
reduced,50,0_00000,False,True,274,50,50,32,29132,reduced/50/0_00000/29132/
reduced,50,0_00000,True,False,600,50,50,33,29133,reduced/50/0_00000/29133/
reduced,50,0_00000,True,False,600,50,50,34,29134,reduced/50/0_00000/29134/
