problem,treatment,num_tests,dilution,finished,solution_found,first_gen_found,max_gen,max_score,max_actual_score,solved_all_training,replicate_id,seed,directory
smallest,cohort,100,0_90000,True,False,-1,300,100,78,False,26,138426,smallest/cohort/100/0_90000/138426/
smallest,cohort,100,0_90000,True,False,-1,300,100,76,False,27,138427,smallest/cohort/100/0_90000/138427/
smallest,cohort,100,0_90000,True,False,-1,300,100,88,False,28,138428,smallest/cohort/100/0_90000/138428/
smallest,cohort,100,0_90000,True,False,-1,300,100,78,False,29,138429,smallest/cohort/100/0_90000/138429/
smallest,cohort,100,0_90000,True,False,-1,300,100,72,False,30,138430,smallest/cohort/100/0_90000/138430/
smallest,cohort,100,0_90000,True,False,-1,300,99,73,False,31,138431,smallest/cohort/100/0_90000/138431/
smallest,cohort,100,0_90000,True,False,-1,300,98,75,False,32,138432,smallest/cohort/100/0_90000/138432/
smallest,cohort,100,0_90000,True,False,-1,300,100,64,False,33,138433,smallest/cohort/100/0_90000/138433/
smallest,cohort,100,0_90000,True,False,-1,300,100,77,False,34,138434,smallest/cohort/100/0_90000/138434/
smallest,cohort,100,0_90000,True,False,-1,300,100,71,False,35,138435,smallest/cohort/100/0_90000/138435/
smallest,cohort,100,0_90000,True,False,-1,300,100,79,False,36,138436,smallest/cohort/100/0_90000/138436/
smallest,cohort,100,0_90000,True,False,-1,300,100,81,False,37,138437,smallest/cohort/100/0_90000/138437/
smallest,cohort,100,0_90000,True,False,-1,300,100,72,False,38,138438,smallest/cohort/100/0_90000/138438/
smallest,cohort,100,0_90000,True,False,-1,300,100,87,False,39,138439,smallest/cohort/100/0_90000/138439/
smallest,cohort,100,0_90000,True,False,-1,300,100,77,False,40,138440,smallest/cohort/100/0_90000/138440/
smallest,cohort,100,0_90000,True,False,-1,300,100,76,False,41,138441,smallest/cohort/100/0_90000/138441/
smallest,cohort,100,0_90000,True,False,-1,300,100,86,False,42,138442,smallest/cohort/100/0_90000/138442/
smallest,cohort,100,0_90000,True,False,-1,300,100,93,False,43,138443,smallest/cohort/100/0_90000/138443/
smallest,cohort,100,0_90000,True,False,-1,300,100,75,False,44,138444,smallest/cohort/100/0_90000/138444/
smallest,cohort,100,0_90000,True,False,-1,300,99,73,False,45,138445,smallest/cohort/100/0_90000/138445/
smallest,cohort,100,0_90000,True,False,-1,300,100,75,False,46,138446,smallest/cohort/100/0_90000/138446/
smallest,cohort,100,0_90000,True,False,-1,300,99,76,False,47,138447,smallest/cohort/100/0_90000/138447/
smallest,cohort,100,0_90000,True,False,-1,300,100,86,False,48,138448,smallest/cohort/100/0_90000/138448/
smallest,cohort,100,0_90000,True,False,-1,300,100,72,False,49,138449,smallest/cohort/100/0_90000/138449/
smallest,cohort,100,0_95000,True,False,-1,300,99,68,False,0,138500,smallest/cohort/100/0_95000/138500/
smallest,cohort,100,0_95000,True,False,-1,300,100,80,False,1,138501,smallest/cohort/100/0_95000/138501/
smallest,cohort,100,0_95000,True,False,-1,300,100,76,False,2,138502,smallest/cohort/100/0_95000/138502/
smallest,cohort,100,0_95000,True,False,-1,300,100,82,False,3,138503,smallest/cohort/100/0_95000/138503/
smallest,cohort,100,0_95000,True,False,-1,300,100,68,False,4,138504,smallest/cohort/100/0_95000/138504/
smallest,cohort,100,0_95000,True,False,-1,300,100,86,False,5,138505,smallest/cohort/100/0_95000/138505/
smallest,cohort,100,0_95000,True,False,-1,300,100,69,False,6,138506,smallest/cohort/100/0_95000/138506/
smallest,cohort,100,0_95000,True,False,-1,300,100,78,False,7,138507,smallest/cohort/100/0_95000/138507/
smallest,cohort,100,0_95000,True,False,-1,300,100,71,False,8,138508,smallest/cohort/100/0_95000/138508/
smallest,cohort,100,0_95000,True,False,-1,300,100,75,False,9,138509,smallest/cohort/100/0_95000/138509/
smallest,cohort,100,0_95000,True,False,-1,300,100,73,False,10,138510,smallest/cohort/100/0_95000/138510/
smallest,cohort,100,0_95000,True,False,-1,300,98,41,False,11,138511,smallest/cohort/100/0_95000/138511/
smallest,cohort,100,0_95000,True,False,-1,300,100,78,False,12,138512,smallest/cohort/100/0_95000/138512/
smallest,cohort,100,0_95000,True,False,-1,300,100,76,False,13,138513,smallest/cohort/100/0_95000/138513/
smallest,cohort,100,0_95000,True,False,-1,300,100,69,False,14,138514,smallest/cohort/100/0_95000/138514/
smallest,cohort,100,0_95000,True,False,-1,300,100,76,False,15,138515,smallest/cohort/100/0_95000/138515/
smallest,cohort,100,0_95000,True,False,-1,300,100,71,False,16,138516,smallest/cohort/100/0_95000/138516/
smallest,cohort,100,0_95000,True,False,-1,300,100,72,False,17,138517,smallest/cohort/100/0_95000/138517/
smallest,cohort,100,0_95000,True,False,-1,300,100,86,False,18,138518,smallest/cohort/100/0_95000/138518/
smallest,cohort,100,0_95000,True,False,-1,300,99,68,False,19,138519,smallest/cohort/100/0_95000/138519/
smallest,cohort,100,0_95000,True,False,-1,300,100,71,False,20,138520,smallest/cohort/100/0_95000/138520/
smallest,cohort,100,0_95000,True,False,-1,300,100,79,False,21,138521,smallest/cohort/100/0_95000/138521/
smallest,cohort,100,0_95000,True,False,-1,300,100,87,False,22,138522,smallest/cohort/100/0_95000/138522/
smallest,cohort,100,0_95000,True,False,-1,300,100,79,False,23,138523,smallest/cohort/100/0_95000/138523/
smallest,cohort,100,0_95000,True,False,-1,300,100,77,False,24,138524,smallest/cohort/100/0_95000/138524/
smallest,cohort,100,0_95000,True,False,-1,300,100,73,False,25,138525,smallest/cohort/100/0_95000/138525/
smallest,cohort,100,0_95000,True,False,-1,300,100,72,False,26,138526,smallest/cohort/100/0_95000/138526/
smallest,cohort,100,0_95000,True,False,-1,300,100,70,False,27,138527,smallest/cohort/100/0_95000/138527/
smallest,cohort,100,0_95000,True,False,-1,300,100,79,False,28,138528,smallest/cohort/100/0_95000/138528/
smallest,cohort,100,0_95000,True,False,-1,300,100,69,False,29,138529,smallest/cohort/100/0_95000/138529/
smallest,cohort,100,0_95000,True,False,-1,300,100,71,False,30,138530,smallest/cohort/100/0_95000/138530/
smallest,cohort,100,0_95000,True,False,-1,300,100,76,False,31,138531,smallest/cohort/100/0_95000/138531/
smallest,cohort,100,0_95000,True,False,-1,300,100,81,False,32,138532,smallest/cohort/100/0_95000/138532/
smallest,cohort,100,0_95000,True,False,-1,300,100,82,False,33,138533,smallest/cohort/100/0_95000/138533/
smallest,cohort,100,0_95000,True,False,-1,300,100,69,False,34,138534,smallest/cohort/100/0_95000/138534/
smallest,cohort,100,0_95000,True,False,-1,300,99,78,False,35,138535,smallest/cohort/100/0_95000/138535/
smallest,cohort,100,0_95000,True,False,-1,300,100,61,False,36,138536,smallest/cohort/100/0_95000/138536/
smallest,cohort,100,0_95000,True,False,-1,300,100,82,False,37,138537,smallest/cohort/100/0_95000/138537/
smallest,cohort,100,0_95000,True,False,-1,300,100,71,False,38,138538,smallest/cohort/100/0_95000/138538/
smallest,cohort,100,0_95000,True,False,-1,300,100,70,False,39,138539,smallest/cohort/100/0_95000/138539/
smallest,cohort,100,0_95000,True,False,-1,300,100,69,False,40,138540,smallest/cohort/100/0_95000/138540/
smallest,cohort,100,0_95000,True,False,-1,300,100,57,False,41,138541,smallest/cohort/100/0_95000/138541/
smallest,cohort,100,0_95000,True,False,-1,300,100,79,False,42,138542,smallest/cohort/100/0_95000/138542/
smallest,cohort,100,0_95000,True,False,-1,300,100,76,False,43,138543,smallest/cohort/100/0_95000/138543/
smallest,cohort,100,0_95000,True,False,-1,300,100,81,False,44,138544,smallest/cohort/100/0_95000/138544/
smallest,cohort,100,0_95000,True,False,-1,300,100,68,False,45,138545,smallest/cohort/100/0_95000/138545/
smallest,cohort,100,0_95000,True,False,-1,300,100,71,False,46,138546,smallest/cohort/100/0_95000/138546/
smallest,cohort,100,0_95000,True,False,-1,300,100,79,False,47,138547,smallest/cohort/100/0_95000/138547/
smallest,cohort,100,0_95000,True,False,-1,300,100,72,False,48,138548,smallest/cohort/100/0_95000/138548/
smallest,cohort,100,0_95000,True,False,-1,300,100,74,False,49,138549,smallest/cohort/100/0_95000/138549/
smallest,cohort,50,0_00000,True,False,-1,600,50,50,False,0,139100,smallest/cohort/50/0_00000/139100/
smallest,cohort,50,0_00000,False,True,146,145,49,49,True,1,139101,smallest/cohort/50/0_00000/139101/
smallest,cohort,50,0_00000,False,True,381,380,50,50,True,2,139102,smallest/cohort/50/0_00000/139102/
smallest,cohort,50,0_00000,False,True,77,76,50,50,True,3,139103,smallest/cohort/50/0_00000/139103/
